codigo,data,numero,tipo,cod_sessao,fase_sessao,num_orador,nome_orador,partido_orador,uf_orador,hora_inicio_discurso,indexacao,num_quarto,num_insercao,text,doc_id
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Zé Silva,SOLIDARIEDADE,MG,02/04/2025 17:28:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Solidariedade (SD),Voto contrário",4256890,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira.",BC_4256890_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Gilson Marques,NOVO,SC,02/04/2025 17:28:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Partido Novo (NOVO),Obstrução parlamentar
Princípio da reciprocidade,Política fiscal,Comércio exterior,Relações internacionais,Reciprocidade de tratamento,Projeto de lei ordinária",4256891,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira. Também questionou a lógica da reciprocidade comercial, que, conforme apontou, só funcionaria para aumentar tarifas, sem prever a mesma reciprocidade caso outros países cobrem menos impostos.",BC_4256891_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Gilson Daniel,PODE,ES,02/04/2025 17:28:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Podemos (PODE) (2016),Voto contrário",4256893,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira.",BC_4256893_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,André Figueiredo,PDT,CE,02/04/2025 17:32:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Maioria parlamentar,Voto contrário",4256902,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira.",BC_4256902_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Delegado Caveira,PL,PA,02/04/2025 17:32:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Oposição política,Voto favorável
Agronegócio,Política econômica,Governo federal
anistia,Tentativa (crime),Golpe de Estado (crime),Ato antidemocrático,Manifestação de apoio,São Paulo (SP),Impunidade,punição,Corrupção",4256903,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira, e parabenizou a Senadora Tereza Cristina pelo projeto em pauta. Em seguida, criticou o Presidente Lula, acusando-o de desprezar o agronegócio e prejudicar a economia. Anunciou apoio à manifestação pela anistia dos presos do 8 de janeiro, marcada para o dia 6 na Avenida Paulista, em São Paulo (SP). Finalizou com críticas ao que chamou de impunidade seletiva, defendendo cadeia para corruptos.",BC_4256903_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Tadeu Veneri,PT,PR,02/04/2025 17:32:00,"Orientação de bancada,Requerimento de adiamento da discussão,Projeto de lei ordinária,Governo,Base de apoio político,Voto contrário",4256904,1,"O Deputado orientou a bancada na votação do requerimento de adiamento da discussão do Projeto de Lei nº&nbsp;2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira.",BC_4256904_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Ivan Valente,PSOL,SP,02/04/2025 17:36:00,"Discussão,Projeto de lei ordinária,favorável",4256910,1,"O Deputado discutiu o Projeto de Lei nº 2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira; e dá outras providências.",BC_4256910_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Gilson Marques,NOVO,SC,02/04/2025 17:36:00,"Discussão,Projeto de lei ordinária
Projeto de lei ordinária,retaliação,Estados Unidos,Comércio exterior,Carga tributária,Importação,Economia,Agronegócio,Poder Executivo,Partido dos Trabalhadores (PT),Princípio da proporcionalidade",4256912,1,"O Deputado discutiu o Projeto de Lei nº 2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira; e dá outras providências. Criticou o projeto por autorizar o Brasil a aplicar medidas de retaliação comercial a outros países, com foco em episódio envolvendo os Estados Unidos durante o Governo Trump. Destacou que a proposta dá um cheque em branco ao Executivo e prejudica o consumidor brasileiro ao permitir aumento de tributos, restrições a importações e suspensão de direitos comerciais. Também afirmou que o Governo Lula não buscou diálogo com os Estados Unidos e acusou o PT de usar o projeto com fins eleitorais. Alertou ainda que a medida pode afastar investidores e enfraquecer a economia ao penalizar diversos setores sob o pretexto de defender o agronegócio e a soberania nacional.",BC_4256912_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Kiko Celeguim,PT,SP,02/04/2025 17:48:00,"Discussão,Projeto de lei ordinária,favorável",4256915,1,"O Deputado discutiu o Projeto de Lei nº 2.088, de 2023, que estabelece critérios para suspensão de concessões comerciais, de investimentos e de obrigações relativas a direitos de propriedade intelectual em resposta a medidas unilaterais adotadas por país ou bloco econômico que impactem negativamente a competitividade internacional brasileira; e dá outras providências.",BC_4256915_1_1
41.2025,02/04/2025,2,Ordinária - CD,BC,Breves Comunicações,1,Gustavo Gayer,PL,GO,02/04/2025 17:52:00,"Participação política,Deputado federal licenciado,Estados Unidos,Tarifa,Aço,Governo federal,Diplomacia,Atuação parlamentar
Oposição política,Perseguição política,anistia,Pena injusta,Vítima,Supremo Tribunal Federal (STF),Princípio da harmonia entre os Poderes,independência,Congresso Nacional,Ato antidemocrático",4256922,1,"O Deputado exaltou a atuação do Deputado licenciado Eduardo Bolsonaro nos Estados Unidos, atribuindo a ele a redução da tarifa do aço brasileiro para 10%, abaixo da média internacional. Além disso, criticou o Governo Lula por não manter relações diplomáticas eficazes e apontou a posição como alvo de perseguição política. Também defendeu a anistia aos presos pelos atos de 8 de janeiro, classificando-os como inocentes e vítimas de injustiça. Condenou a atuação do Supremo Tribunal Federal (STF), e sugeriu que o Congresso reafirme sua independência. Concluiu pedindo coragem aos colegas para enfrentar a pressão institucional e recuperar a dignidade da Câmara dos Deputados.",BC_4256922_1_1
